Species,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Blue-winged Teal,0,0,3,2,1,4,11,9,3,10,0,2,24,7,11,6,1,3,5,8,36,19,1,10,9,64,13,8,1,12,22,16,22,15,29,10,16,15,24,33,14,19,10,6,19,2,30,38
Blue-winged Warbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bobolink,0,0,0,0,0,6,1,1,4,0,0,0,2,2,2,0,0,1,1,3,5,7,3,7,8,4,6,7,4,5,4,7,3,2,5,1,1,1,3,4,4,9,1,2,8,4,0,1
Boreal Owl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2
Brewer's Blackbird,138,134,298,445,413,628,831,693,865,574,639,563,700,486,858,722,556,720,782,822,1071,889,414,707,1374,1111,1292,1201,1492,1378,1700,1436,1663,1226,1285,1366,1152,1362,1353,1291,1477,1138,1371,1025,894,953,949,1069
Brewer's Sparrow,2,86,45,15,152,91,269,188,225,211,117,136,144,201,230,84,121,120,186,191,310,185,189,237,491,425,456,760,829,982,914,895,699,600,639,728,780,629,779,736,643,547,734,680,387,510,624,808
Broad-tailed Hummingbird,32,66,85,65,50,59,73,69,60,86,114,102,126,70,83,165,152,89,136,79,256,186,172,197,404,548,476,523,487,592,755,727,737,675,690,632,611,783,698,705,761,745,656,489,552,624,694,760
Brown Creeper,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,1,2,1,2,2,11,13,5,6,10,2,9,11,15,11,6,3,6,8,7,7,15,11
Brown Thrasher,7,4,13,6,2,2,0,3,0,2,2,1,5,2,0,3,5,3,4,2,4,5,6,6,10,12,13,12,13,24,21,27,22,12,16,24,27,25,40,31,26,35,19,18,22,15,24,16
Brown-capped Rosy-Finch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,10,0,3,1,0,0,1,0,0,2,1,0,0,3,1,1,2,0
Brown-headed Cowbird,8,12,4,23,17,28,74,98,67,92,107,69,119,85,148,87,149,145,188,189,312,241,256,224,297,434,411,404,535,604,785,807,756,586,673,615,466,544,748,669,677,554,601,650,578,533,541,729
Bufflehead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bufflehead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Bullock's Oriole,9,8,12,35,29,42,68,41,37,35,36,56,52,34,64,50,52,71,68,95,119,127,93,166,210,215,245,218,225,202,205,247,285,247,252,247,255,229,262,287,291,266,208,217,186,239,243,244
Burrowing Owl,23,40,25,19,20,26,16,41,12,30,27,48,26,43,61,50,31,18,65,48,30,47,60,66,86,80,155,97,108,160,115,109,97,82,94,83,82,86,148,259,200,118,239,209,119,103,78,107
Burrowing Owl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bushtit,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,0,1,0,25,0,6,0,13,16,10,9,5,16,1,15,0,48,17,33,23,33,23,15,36,30,29,7,4,15,15,32,39
California Gull,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,22,17,2,15,41,72,51,97,34,82,97,204,79,139,235,7,219,308,271,366,281,34,274,13,31,1,5,3,777
Calliope Hummingbird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada Goose,0,0,0,0,0,0,2,24,50,31,93,9,2,0,3,23,44,31,2,30,50,144,155,176,283,275,348,328,416,432,239,435,701,545,423,534,491,759,470,521,505,395,330,264,412,211,446,501
Canvasback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,4,1,0,0,4,0,0,0,0,0,0,0,0,1,0
Canyon Towhee,1,0,0,0,1,2,1,1,2,1,0,0,0,0,2,0,0,0,1,0,1,1,1,0,1,1,0,1,5,5,4,3,8,7,3,6,0,7,3,8,3,1,12,0,0,0,3,0
Canyon Wren,0,0,0,0,0,1,3,2,1,3,4,4,3,5,2,3,1,0,0,2,0,3,3,2,1,0,4,10,7,6,13,13,16,6,9,9,13,9,8,13,6,7,8,1,1,6,4,11
Cassin's Finch,0,1,2,1,1,1,2,1,12,3,3,0,6,4,23,9,18,11,1,16,54,27,46,125,80,112,88,86,108,83,99,86,96,50,42,44,77,48,92,77,74,54,92,51,70,89,62,87
Cassin's Finch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassin's Kingbird,2,0,0,23,25,12,22,18,15,30,14,13,21,15,18,0,0,0,22,15,19,13,17,7,29,24,22,19,29,19,17,31,81,87,106,91,46,63,119,126,94,52,26,29,68,70,56,43
Cassin's Sparrow,2,1,76,140,129,247,1082,563,183,390,355,210,180,263,538,99,107,98,309,121,471,698,889,575,1198,1664,1285,1277,1459,436,663,866,716,529,510,1182,813,1278,1470,846,976,1525,1085,998,620,334,616,663
Cattle Egret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar Waxwing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,3,2,5,1,3,5,9,1,5,4,3,8,8,19,33,11,8,12,10
Cedar Waxwing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0
Chestnut-collared Longspur,0,0,0,0,0,16,39,0,0,2,0,0,0,0,0,0,0,0,0,1,8,12,12,20,16,11,17,30,16,40,14,7,10,9,27,14,14,4,3,25,8,3,7,8,12,2,16,6
Chestnut-sided Warbler,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chihuahuan Raven,0,0,0,0,1,6,1,8,0,1,0,1,0,0,1,7,3,0,2,6,77,35,6,13,13,10,20,6,11,18,16,30,42,27,28,33,43,43,26,48,27,15,20,31,10,54,35,54
Chimney Swift,4,1,3,1,0,1,6,1,3,1,6,3,6,6,5,3,2,8,3,4,9,9,7,6,6,4,1,0,0,3,8,0,1,2,8,1,5,5,13,5,1,3,2,3,5,2,9,12
Chipping Sparrow,12,22,18,25,56,54,84,47,82,57,48,52,45,50,70,31,55,82,105,92,149,86,101,172,330,222,421,250,433,382,576,575,642,427,507,516,564,503,680,663,519,522,484,409,447,382,542,556
Chipping Sparrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Chukar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,1,2,2,0,0,1,1,0,2,3,0,2,5,4,5,1,2,0,9,3,4,1,2,3,5,0,0,6,0,14
Cinnamon Teal,0,2,6,2,1,9,9,5,2,0,10,0,0,0,2,4,3,5,15,11,48,41,1,14,13,19,23,32,20,38,40,34,81,38,50,28,62,40,36,36,25,23,24,16,5,12,25,20
Clark's Grebe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark's Nutcracker,1,0,1,1,2,0,1,2,7,0,1,1,2,1,5,2,4,15,5,9,71,21,38,30,63,51,101,109,138,204,152,329,127,167,152,180,149,144,87,138,178,150,126,137,111,217,184,152
Clay-colored Sparrow,0,0,1,1,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Clay-colored Sparrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,9,2,0
Cliff Swallow,174,247,226,235,580,332,397,781,469,590,713,510,836,572,946,593,878,866,1084,685,869,1184,1124,1537,1227,2103,3122,1833,2307,1833,2792,2715,2439,2275,3105,2476,2262,2229,2988,2184,2148,1928,2074,2167,1583,2399,2278,1882
Common Goldeneye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,1,4,0,1,0
Common Grackle,6,40,39,24,24,33,45,24,37,64,88,115,131,134,132,180,162,170,187,167,327,391,448,479,762,813,944,871,918,6171,1106,1114,881,687,896,1215,993,1564,1113,1337,1207,1115,1263,907,1086,937,829,1104
